righe_modificate,file_modificati,test_modificati,dipendenze_aggiornate,ore_da_ultima_build_verde,commit_autore_nel_repo,tipo_ramo,fallita
43,4,4,0,23.0,37,feature,0
134,6,4,0,7.6,270,feature,0
19,3,2,0,12.0,63,feature,0
438,11,2,1,2.3,65,hotfix,1
77,11,6,0,5.7,134,hotfix,0
124,9,3,0,37.8,101,hotfix,1
1163,23,3,0,8.9,17,release,0
477,17,1,0,4.5,36,release,1
64,6,3,0,0.8,153,feature,0
47,9,1,0,4.1,103,feature,0
63,3,2,0,11.2,272,feature,0
158,5,0,0,9.2,90,hotfix,1
80,6,2,0,7.4,106,feature,0
58,5,1,0,24.6,30,feature,1
452,12,2,0,7.6,169,feature,0
79,7,4,0,2.3,3,feature,0
1130,24,3,0,4.3,76,feature,0
99,9,3,0,18.7,108,hotfix,0
642,18,2,0,0.8,84,feature,1
133,5,1,0,28.6,63,hotfix,1
260,6,1,0,7.5,57,feature,0
41,3,0,1,15.7,66,hotfix,0
35,3,4,1,63.3,21,feature,1
149,7,0,0,11.2,84,feature,0
267,9,1,0,6.6,31,release,0
94,5,5,0,0.5,37,release,0
22,6,3,0,6.9,18,hotfix,0
20,16,3,0,8.8,465,release,0
19,4,1,0,5.0,79,feature,0
13,5,1,0,12.0,13,feature,0
102,6,2,0,0.9,72,feature,0
310,8,1,0,23.3,168,hotfix,0
89,7,3,0,10.7,83,hotfix,1
7,4,3,0,6.8,62,release,0
73,4,0,0,6.0,28,hotfix,0
75,4,0,0,14.4,83,feature,1
903,22,6,0,12.5,123,feature,0
18,6,2,0,1.0,124,feature,0
59,4,5,0,14.7,77,feature,0
588,15,3,1,0.9,76,hotfix,1
148,7,1,0,6.1,190,feature,0
167,8,4,0,5.1,174,release,0
102,5,0,0,8.6,54,feature,0
129,4,1,0,14.5,254,feature,0
212,7,2,0,10.9,14,hotfix,1
37,3,2,0,1.1,80,feature,0
236,6,4,0,19.8,87,hotfix,0
20,2,3,1,19.6,26,feature,1
129,3,1,1,10.7,10,feature,1
110,5,2,0,2.9,27,feature,1
46,9,5,0,2.6,143,feature,0
88,8,4,0,33.4,147,hotfix,0
45,11,1,0,2.1,117,release,0
28,3,4,1,11.0,31,hotfix,1
61,7,1,0,33.1,148,feature,0
27,4,0,0,4.1,34,release,0
128,5,3,1,2.0,84,feature,1
25,8,3,0,4.1,65,feature,0
197,7,1,0,21.3,45,hotfix,0
25,2,0,0,25.2,112,release,0
